commodity_group,exporter,export_value,import_value
14,SEN,0.0,0.0
14,SLE,0.0,0.0
14,SOM,0.0,0.0
14,STP,0.0,0.0
14,SWZ,0.0,0.0
14,SYC,0.0,0.0
14,TCD,0.0,8100.0
14,TGO,7390.0,0.0
14,TUN,0.0,0.0
14,TZA,1916558.0,5698.0
14,UGA,0.0,0.0
14,ZAF,2036542.0,192486.0
14,ZMB,14589.0,25153.0
14,ZWE,0.0,0.0
15,AGO,0.0,130452.0
15,BDI,0.0,4217.0
15,BEN,0.0,271061.0
15,BFA,89.0,87630.0
15,BWA,0.0,735.0
15,CAF,0.0,0.0
15,CIV,33504.0,729034.0
15,CMR,11801.0,25812.0
15,COD,642642.0,113423114.0
15,COG,0.0,4373.0
15,COM,0.0,546.0
15,CPV,0.0,0.0
15,DJI,0.0,96340.0
15,DZA,26299.0,1919898.0
15,EGY,44376.0,2134682.0
15,ERI,0.0,17771.0
15,ETH,0.0,185618.0
15,GAB,0.0,3400.0
15,GHA,167223.0,147709.0
15,GIN,0.0,3090.0
15,GMB,119075.0,160153.0
15,GNB,0.0,0.0
15,GNQ,0.0,3182.0
15,KEN,9387.0,732361.0
15,LBR,0.0,0.0
15,LBY,0.0,230.0
15,LSO,0.0,75.0
15,MAR,9755490.0,185198.0
15,MDG,0.0,15207.0
15,MLI,405.0,10065.0
15,MOZ,0.0,364042.0
15,MRT,0.0,34650.0
15,MUS,908932.0,346358.0
15,MWI,0.0,2450.0
15,NAM,0.0,372.0
15,NER,191532.0,231551.0
15,NGA,0.0,2150159.0
15,RWA,0.0,69340.0
15,SDN,0.0,11713.0
15,SEN,11500000.0,10453017.0
15,SLE,0.0,901.0
15,SOM,0.0,0.0
15,STP,0.0,0.0
15,SWZ,0.0,0.0
15,SYC,0.0,12670.0
15,TCD,0.0,0.0
15,TGO,0.0,13033.0
15,TUN,4493419.0,340723.0
15,TZA,10833138.0,216397.0
15,UGA,0.0,44560.0
15,ZAF,38023829.0,3397693.0
15,ZMB,0.0,304127.0
15,ZWE,0.0,9096.0
16,AGO,0.0,16275597.0
16,BDI,0.0,1653388.0
16,BEN,0.0,2668148.0
16,BFA,0.0,712327.0
16,BWA,1478.0,1047.0
16,CAF,0.0,0.0
16,CIV,0.0,7270066.0
16,CMR,0.0,2165494.0
16,COD,848396.0,21880163.0
16,COG,0.0,4453660.0
16,COM,0.0,0.0
16,CPV,0.0,0.0
16,DJI,0.0,0.0
16,DZA,0.0,552687.0
16,EGY,0.0,597636.0
16,ERI,0.0,1615.0
16,ETH,0.0,27964.0
16,GAB,0.0,1699964.0
16,GHA,0.0,31080000.0
16,GIN,0.0,1550.0
16,GMB,0.0,188221.0
16,GNB,0.0,78303.0
16,GNQ,0.0,680787.0
16,KEN,0.0,1007640.0
16,LBR,0.0,1231032.0
16,LBY,0.0,7077946.0
16,LSO,0.0,0.0
16,MAR,16219.0,9732264.0
16,MDG,0.0,0.0
16,MLI,0.0,2155910.0
16,MOZ,0.0,102217.0
16,MRT,330462.0,31935.0
16,MUS,0.0,2661738.0
16,MWI,0.0,103730.0
16,NAM,0.0,1797027.0
16,NER,0.0,46093.0
16,NGA,0.0,17868280.0
16,RWA,0.0,430671.0
16,SDN,0.0,40850.0
16,SEN,74663.0,203559.0
16,SLE,0.0,0.0
16,SOM,0.0,0.0
16,STP,0.0,18159.0
16,SWZ,0.0,0.0
16,SYC,0.0,0.0
16,TCD,0.0,114560.0
16,TGO,0.0,1592159.0
16,TUN,0.0,274119.0
16,TZA,7011.0,1160445.0
16,UGA,0.0,0.0
16,ZAF,770266.0,16549040.0
16,ZMB,0.0,63818.0
16,ZWE,0.0,136890.0
17,AGO,0.0,10726695.0
17,BDI,0.0,519.0
17,BEN,489.0,16690896.0
17,BFA,0.0,40125.0
17,BWA,0.0,446.0
17,CAF,0.0,0.0
17,CIV,405.0,1125809.0
17,CMR,1848.0,974124.0
17,COD,0.0,9848945.0
17,COG,0.0,0.0
17,COM,0.0,55.0
17,CPV,0.0,0.0
17,DJI,0.0,87900.0
17,DZA,562.0,3165714.0
17,EGY,5981.0,8641039.0
17,ERI,0.0,45962.0
17,ETH,0.0,846231.0
17,GAB,0.0,0.0
17,GHA,0.0,10716953.0
17,GIN,0.0,6439152.0
17,GMB,0.0,504550.0
17,GNB,0.0,46881.0
17,GNQ,0.0,0.0
17,KEN,156.0,1993581.0
17,LBR,0.0,210503.0
17,LBY,0.0,254316.0
17,LSO,0.0,131.0
17,MAR,8560.0,516754.0
17,MDG,0.0,527625.0
17,MLI,0.0,19290.0
17,MOZ,0.0,230390.0
17,MRT,0.0,571899.0
17,MUS,499591.0,810869.0
17,MWI,0.0,102383.0
17,NAM,0.0,145253.0
17,NER,99567.0,66112.0
17,NGA,0.0,36700000.0
17,RWA,0.0,48245.0
17,SDN,0.0,591481.0
17,SEN,574.0,1425969.0
17,SLE,0.0,133876.0
17,SOM,0.0,293960.0
17,STP,0.0,0.0
17,SWZ,0.0,0.0
17,SYC,0.0,0.0
17,TCD,0.0,288989.0
17,TGO,0.0,4244667.0
17,TUN,0.0,307733.0
17,TZA,18091.0,1305098.0
17,UGA,0.0,98698.0
17,ZAF,265211.0,16862531.0
17,ZMB,164.0,52264.0
17,ZWE,0.0,50269.0
18,AGO,0.0,1462412.0
18,BDI,0.0,34.0
18,BEN,0.0,1428722.0
18,BFA,0.0,3229.0
18,BWA,0.0,8.0
18,CAF,0.0,0.0
18,CIV,39372560.0,81350.0
18,CMR,1160850.0,217007.0
18,COD,0.0,2330126.0
18,COG,0.0,0.0
18,COM,0.0,0.0
18,CPV,0.0,0.0
18,DJI,0.0,0.0
18,DZA,0.0,513128.0
18,EGY,0.0,917381.0
18,ERI,0.0,0.0
18,ETH,0.0,172408.0
18,GAB,0.0,0.0
18,GHA,65714566.0,1962493.0
18,GIN,0.0,228637.0
18,GMB,0.0,32282.0
18,GNB,0.0,0.0
18,GNQ,0.0,0.0
18,KEN,0.0,95284.0
18,LBR,0.0,0.0
18,LBY,0.0,0.0
